Datetime,Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Year,Month,Day,Hour,Weekday,Station,Latitude,Longitude
2004-03-10 18:00:00,10/03/2004,18:00:00,2.6399477141666248,1360.0,142.59648554613307,12.238089272773587,1046.0,168.89727065209868,1056.0,117.17194399514759,1692.0,1268.0,13.6,48.9,0.7578,2004,3,10,18,2,Turin,45.0703,7.6869
2004-03-10 19:00:00,10/03/2004,19:00:00,1.921181053910284,1292.0,113.0356658699867,9.751961955331629,955.0,102.26426254868616,1174.0,95.75019344018752,1559.0,972.0,13.3,47.7,0.7255,2004,3,10,19,2,Turin,45.0703,7.6869
2004-03-10 20:00:00,10/03/2004,20:00:00,2.172536686755864,1402.0,86.47814185992286,8.672618649179777,939.0,131.05250829579387,1140.0,118.71820781842474,1555.0,1074.0,11.9,54.0,0.7502,2004,3,10,20,2,Turin,45.0703,7.6869
2004-03-10 21:00:00,10/03/2004,21:00:00,2.2246896932674347,1376.0,78.1159093492819,9.22693464601852,948.0,165.15424507425752,1092.0,127.28751806718306,1584.0,1203.0,11.0,60.0,0.7867,2004,3,10,21,2,Turin,45.0703,7.6869
2004-03-10 22:00:00,10/03/2004,22:00:00,1.661017195326917,1272.0,48.88452052042804,6.769480223595977,836.0,126.59277281901858,1205.0,113.7847190243867,1490.0,1110.0,11.2,59.6,0.7888,2004,3,10,22,2,Turin,45.0703,7.6869
2004-03-10 23:00:00,10/03/2004,23:00:00,1.1864875061619569,1197.0,37.10252993486191,4.826561892351439,750.0,90.47272795094504,1337.0,97.11892057674442,1393.0,949.0,11.2,59.2,0.7848,2004,3,10,23,2,Turin,45.0703,7.6869
2004-03-11 00:00:00,11/03/2004,00:00:00,1.251112172300007,1185.0,30.722496897861877,3.609610839717068,690.0,59.01201712181786,1462.0,74.67301983766279,1333.0,733.0,11.3,56.8,0.7603,2004,3,11,0,3,Turin,45.0703,7.6869
2004-03-11 01:00:00,11/03/2004,01:00:00,0.9800801626586845,1136.0,31.187568079056426,3.387023228672078,672.0,62.031801491505554,1453.0,74.56279024978129,1333.0,730.0,10.7,60.0,0.7702,2004,3,11,1,3,Turin,45.0703,7.6869
2004-03-11 02:00:00,11/03/2004,02:00:00,0.9352801616743415,1094.0,24.731154882199142,2.362832704945073,609.0,46.9035195113347,1579.0,62.82293604558397,1276.0,620.0,10.7,59.7,0.7648,2004,3,11,2,3,Turin,45.0703,7.6869
2004-03-11 03:00:00,11/03/2004,03:00:00,0.5991127247772595,1010.0,19.17671399724208,1.7682212208926897,561.0,32.9306512579393,1705.0,47.12609490834409,1235.0,501.0,10.3,60.2,0.7517,2004,3,11,3,3,Turin,45.0703,7.6869
