Datetime,Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Year,Month,Day,Hour,Weekday,Station,Latitude,Longitude
2004-03-10 18:00:00,10/03/2004,18:00:00,2.5097937616843713,1360.0,152.82689734187463,12.133973890846406,1046.0,164.24395517742414,1056.0,116.52780714919004,1692.0,1268.0,13.6,48.9,0.7578,2004,3,10,18,2,北京,39.9042,116.4074
2004-03-10 19:00:00,10/03/2004,19:00:00,2.009519202660396,1292.0,117.17007962410352,9.689022632722537,955.0,107.4728230241039,1174.0,94.66448531982289,1559.0,972.0,13.3,47.7,0.7255,2004,3,10,19,2,北京,39.9042,116.4074
2004-03-10 20:00:00,10/03/2004,20:00:00,2.095448962293209,1402.0,84.47827553031536,9.19720298859356,939.0,129.20873064762017,1140.0,108.63218309643965,1555.0,1074.0,11.9,54.0,0.7502,2004,3,10,20,2,北京,39.9042,116.4074
2004-03-10 21:00:00,10/03/2004,21:00:00,2.1584269011699875,1376.0,79.99120555389626,9.619407682084558,948.0,167.83539587701762,1092.0,118.205098429834,1584.0,1203.0,11.0,60.0,0.7867,2004,3,10,21,2,北京,39.9042,116.4074
2004-03-10 22:00:00,10/03/2004,22:00:00,1.5999785198249385,1272.0,51.20650902362054,6.255311834943783,836.0,136.1419272754246,1205.0,114.39807474154433,1490.0,1110.0,11.2,59.6,0.7888,2004,3,10,22,2,北京,39.9042,116.4074
2004-03-10 23:00:00,10/03/2004,23:00:00,1.221174174230724,1197.0,38.44880101681566,4.570244675758168,750.0,85.16875491613796,1337.0,94.40674169097852,1393.0,949.0,11.2,59.2,0.7848,2004,3,10,23,2,北京,39.9042,116.4074
2004-03-11 00:00:00,11/03/2004,00:00:00,1.1941901525071301,1185.0,31.866396165916196,3.7052131910967296,690.0,59.596614651121286,1462.0,75.9412797815183,1333.0,733.0,11.3,56.8,0.7603,2004,3,11,0,3,北京,39.9042,116.4074
2004-03-11 01:00:00,11/03/2004,01:00:00,0.9569083197040996,1136.0,30.458253523264247,3.268825792160062,672.0,60.29509885217654,1453.0,78.81228615782739,1333.0,730.0,10.7,60.0,0.7702,2004,3,11,1,3,北京,39.9042,116.4074
2004-03-11 02:00:00,11/03/2004,02:00:00,0.9265346394127619,1094.0,23.644050551534384,2.2200695050328756,609.0,43.67925210227924,1579.0,61.71351154898246,1276.0,620.0,10.7,59.7,0.7648,2004,3,11,2,3,北京,39.9042,116.4074
2004-03-11 03:00:00,11/03/2004,03:00:00,0.5857561791475188,1010.0,19.70761831947025,1.7792618182107296,561.0,32.675355468670375,1705.0,46.34348428174568,1235.0,501.0,10.3,60.2,0.7517,2004,3,11,3,3,北京,39.9042,116.4074
2004-03-11 04:00:00,11/03/2004,04:00:00,0.6695512003946191,1011.0,14.448596681174157,1.2872578501984602,527.0,21.602971234762965,1818.0,33.03516977731828,1197.0,445.0,10.1,60.5,0.7465,2004,3,11,4,3,北京,39.9042,116.4074
2004-03-11 05:00:00,11/03/2004,05:00:00,0.6976369807759479,1066.0,8.163027718108623,1.0927522172447668,512.0,15.546951385639389,1918.0,28.489706650274883,1182.0,422.0,11.0,56.2,0.7366,2004,3,11,5,3,北京,39.9042,116.4074
2004-03-11 06:00:00,11/03/2004,06:00:00,0.7079370179403099,1052.0,16.43927657142004,1.6293563337837114,553.0,33.440445191030804,1738.0,47.763500543901316,1221.0,472.0,10.5,58.1,0.7353,2004,3,11,6,3,北京,39.9042,116.4074
2004-03-11 07:00:00,11/03/2004,07:00:00,1.1004819100955427,1144.0,28.490418262057485,3.087404312454535,667.0,97.12257171490127,1490.0,83.03807791796093,1339.0,730.0,10.2,59.6,0.7417,2004,3,11,7,3,北京,39.9042,116.4074
2004-03-11 08:00:00,11/03/2004,08:00:00,2.091492165777622,1333.0,63.72901652458148,7.8683837054855505,900.0,173.81654238681168,1136.0,111.32591701816247,1517.0,1102.0,10.8,57.4,0.7408,2004,3,11,8,3,北京,39.9042,116.4074
2004-03-11 09:00:00,11/03/2004,09:00:00,2.2112227381779497,1351.0,87.71285022027982,9.540285817254158,960.0,134.70102706949433,1079.0,104.85353728027674,1583.0,1028.0,10.5,60.6,0.7691,2004,3,11,9,3,北京,39.9042,116.4074
2004-03-11 10:00:00,11/03/2004,10:00:00,1.6434604347094335,1233.0,76.57382762262677,6.025796556274495,827.0,110.60644531141237,1218.0,100.4465827983238,1446.0,860.0,10.8,58.4,0.7552,2004,3,11,10,3,北京,39.9042,116.4074
2004-03-11 11:00:00,11/03/2004,11:00:00,1.427010579991138,1179.0,44.38710238302835,4.8746710673278795,762.0,99.18764721875337,1328.0,93.1701109727738,1362.0,671.0,10.5,57.9,0.7352,2004,3,11,11,3,北京,39.9042,116.4074
2004-03-11 12:00:00,11/03/2004,12:00:00,1.5324850499346117,1236.0,61.279742239797216,5.255250010841264,774.0,103.85971190476558,1301.0,98.78050542626717,1401.0,664.0,9.5,66.8,0.7951,2004,3,11,12,3,北京,39.9042,116.4074
2004-03-11 13:00:00,11/03/2004,13:00:00,1.83740038413907,1286.0,65.12501043579758,7.248409069128157,869.0,145.7266458921735,1162.0,107.45965626309572,1537.0,799.0,8.3,76.4,0.8393,2004,3,11,13,3,北京,39.9042,116.4074
2004-03-11 14:00:00,11/03/2004,14:00:00,3.03894017111861,1371.0,160.42275880161793,11.01665635668463,1034.0,197.00372373780513,983.0,130.64375455033235,1730.0,1037.0,8.0,81.1,0.8736,2004,3,11,14,3,北京,39.9042,116.4074
2004-03-11 15:00:00,11/03/2004,15:00:00,2.133898202634302,1310.0,76.82029555805546,8.617469858752802,933.0,181.51013779122553,1082.0,128.06439563191532,1647.0,946.0,8.3,79.8,0.8778,2004,3,11,15,3,北京,39.9042,116.4074
2004-03-11 16:00:00,11/03/2004,16:00:00,2.109404453511654,1292.0,95.07035083663453,7.889531191830468,912.0,195.88809919191115,1103.0,131.2260185945731,1591.0,957.0,9.7,71.2,0.8569,2004,3,11,16,3,北京,39.9042,116.4074
2004-03-11 17:00:00,11/03/2004,17:00:00,2.8084003217798306,1383.0,153.2406177009237,11.70023117981445,1020.0,231.9552693256423,1008.0,136.10690083179404,1719.0,1104.0,9.8,67.6,0.8185,2004,3,11,17,3,北京,39.9042,116.4074
2004-03-11 18:00:00,11/03/2004,18:00:00,4.898906131711943,1581.0,292.24987436759426,21.66741145248989,1319.0,277.4445110668897,799.0,156.9317521028129,2083.0,1409.0,10.3,64.2,0.8065,2004,3,11,18,3,北京,39.9042,116.4074
2004-03-11 19:00:00,11/03/2004,19:00:00,6.8638978206179395,1776.0,447.67668038698133,27.372217400372847,1488.0,400.5688761489045,702.0,175.76058064335615,2333.0,1704.0,9.7,69.3,0.8319,2004,3,11,19,3,北京,39.9042,116.4074
2004-03-11 20:00:00,11/03/2004,20:00:00,6.324699684568983,1640.0,394.03908322060863,24.545162072760082,1404.0,360.3166363010126,743.0,158.00281816467094,2191.0,1654.0,9.6,67.8,0.8133,2004,3,11,20,3,北京,39.9042,116.4074
2004-03-11 21:00:00,11/03/2004,21:00:00,3.8493344419961346,1313.0,187.2884607215365,12.335039981683085,1076.0,234.52541448112729,957.0,142.65173432941916,1707.0,1285.0,9.1,64.0,0.7419,2004,3,11,21,3,北京,39.9042,116.4074
2004-03-11 22:00:00,11/03/2004,22:00:00,1.5498642785637657,965.0,63.26521119906038,4.569501513271465,749.0,91.53039654375844,1325.0,84.52908269711664,1333.0,821.0,8.2,63.4,0.6905,2004,3,11,22,3,北京,39.9042,116.4074
2004-03-11 23:00:00,11/03/2004,23:00:00,1.0104990875311939,913.0,24.91444278242621,2.533157092340491,629.0,48.660563713203,1565.0,55.15060903858213,1252.0,552.0,8.2,60.8,0.6657,2004,3,11,23,3,北京,39.9042,116.4074
2004-03-12 00:00:00,12/03/2004,00:00:00,1.6573066993997638,1080.0,55.3399597571098,6.079279126052205,805.0,117.77582793385942,1254.0,93.98407048405588,1375.0,816.0,8.3,58.5,0.6438,2004,3,12,0,4,北京,39.9042,116.4074
2004-03-12 01:00:00,12/03/2004,01:00:00,1.8150665602075935,1044.0,55.01828353012049,6.228828047951707,829.0,132.0879053409315,1247.0,105.6778042876642,1378.0,832.0,7.7,59.7,0.6308,2004,3,12,1,4,北京,39.9042,116.4074
2004-03-12 02:00:00,12/03/2004,02:00:00,1.3841495994704158,988.0,41.71361660273628,4.071255448225776,718.0,85.3266773875727,1396.0,92.41860959824959,1304.0,692.0,7.1,61.8,0.6276,2004,3,12,2,4,北京,39.9042,116.4074
2004-03-12 03:00:00,12/03/2004,03:00:00,0.7607282395187435,889.0,20.574707846097677,1.901582162371803,574.0,52.97766440791169,1680.0,58.84293260425615,1187.0,512.0,7.0,62.3,0.6261,2004,3,12,3,4,北京,39.9042,116.4074
2004-03-12 04:00:00,12/03/2004,04:00:00,0.6988504329022457,831.0,10.44677169989924,1.1259439017168882,506.0,21.27618378214086,1893.0,32.730406746968626,1134.0,384.0,6.1,65.9,0.6248,2004,3,12,4,4,北京,39.9042,116.4074
2004-03-12 05:00:00,12/03/2004,05:00:00,0.6026251629157403,847.0,6.976853715470555,0.973920364661313,501.0,29.847084501599213,1895.0,43.56303855044659,1155.0,394.0,6.3,65.0,0.6233,2004,3,12,5,4,北京,39.9042,116.4074
2004-03-12 06:00:00,12/03/2004,06:00:00,0.814215209691078,927.0,17.659039850123527,1.8222246065343113,571.0,55.61822781106993,1685.0,70.89189524137475,1223.0,487.0,6.8,62.9,0.6234,2004,3,12,6,4,北京,39.9042,116.4074
2004-03-12 07:00:00,12/03/2004,07:00:00,1.4328080543600301,1091.0,32.38264291625247,4.427768260499044,730.0,109.03655033871321,1387.0,98.86836169340515,1361.0,748.0,6.4,65.1,0.6316,2004,3,12,7,4,北京,39.9042,116.4074
2004-03-12 08:00:00,12/03/2004,08:00:00,4.358103801797895,1587.0,205.95990969473866,18.09093511525778,1236.0,315.25883757295423,897.0,143.57175560631615,1900.0,1400.0,7.3,63.1,0.6499,2004,3,12,8,4,北京,39.9042,116.4074
2004-03-12 09:00:00,12/03/2004,09:00:00,3.5993533018388892,1545.0,212.43962848100117,23.072072262065983,1353.0,238.97490231818458,767.0,135.40375586053563,2058.0,1588.0,9.2,56.2,0.6561,2004,3,12,9,4,北京,39.9042,116.4074
