Datetime,Year,Month,Day,Hour,Latitude,Longitude,Pollutant,Concentration
2004-03-10 18:00:00,2004,3,10,18,39.9042,116.4074,CO,2.5097937616843717
2004-03-10 19:00:00,2004,3,10,19,39.9042,116.4074,CO,2.009519202660396
2004-03-10 20:00:00,2004,3,10,20,39.9042,116.4074,CO,2.095448962293209
2004-03-10 21:00:00,2004,3,10,21,39.9042,116.4074,CO,2.1584269011699875
2004-03-10 22:00:00,2004,3,10,22,39.9042,116.4074,CO,1.5999785198249383
2004-03-10 23:00:00,2004,3,10,23,39.9042,116.4074,CO,1.221174174230724
2004-03-11 00:00:00,2004,3,11,0,39.9042,116.4074,CO,1.19419015250713
2004-03-11 01:00:00,2004,3,11,1,39.9042,116.4074,CO,0.9569083197040996
2004-03-11 02:00:00,2004,3,11,2,39.9042,116.4074,CO,0.926534639412762
2004-03-11 03:00:00,2004,3,11,3,39.9042,116.4074,CO,0.5857561791475188
2004-03-11 04:00:00,2004,3,11,4,39.9042,116.4074,CO,0.6695512003946191
2004-03-11 05:00:00,2004,3,11,5,39.9042,116.4074,CO,0.6976369807759479
2004-03-11 06:00:00,2004,3,11,6,39.9042,116.4074,CO,0.7079370179403099
2004-03-11 07:00:00,2004,3,11,7,39.9042,116.4074,CO,1.1004819100955427
2004-03-11 08:00:00,2004,3,11,8,39.9042,116.4074,CO,2.091492165777622
2004-03-11 09:00:00,2004,3,11,9,39.9042,116.4074,CO,2.2112227381779497
2004-03-11 10:00:00,2004,3,11,10,39.9042,116.4074,CO,1.6434604347094337
2004-03-11 11:00:00,2004,3,11,11,39.9042,116.4074,CO,1.427010579991138
2004-03-11 12:00:00,2004,3,11,12,39.9042,116.4074,CO,1.5324850499346117
2004-03-11 13:00:00,2004,3,11,13,39.9042,116.4074,CO,1.83740038413907
2004-03-11 14:00:00,2004,3,11,14,39.9042,116.4074,CO,3.03894017111861
2004-03-11 15:00:00,2004,3,11,15,39.9042,116.4074,CO,2.133898202634302
2004-03-11 16:00:00,2004,3,11,16,39.9042,116.4074,CO,2.109404453511654
2004-03-11 17:00:00,2004,3,11,17,39.9042,116.4074,CO,2.8084003217798306
2004-03-11 18:00:00,2004,3,11,18,39.9042,116.4074,CO,4.898906131711943
2004-03-11 19:00:00,2004,3,11,19,39.9042,116.4074,CO,6.86389782061794
2004-03-11 20:00:00,2004,3,11,20,39.9042,116.4074,CO,6.324699684568983
2004-03-11 21:00:00,2004,3,11,21,39.9042,116.4074,CO,3.849334441996135
2004-03-11 22:00:00,2004,3,11,22,39.9042,116.4074,CO,1.5498642785637655
2004-03-11 23:00:00,2004,3,11,23,39.9042,116.4074,CO,1.010499087531194
2004-03-12 00:00:00,2004,3,12,0,39.9042,116.4074,CO,1.6573066993997638
2004-03-12 01:00:00,2004,3,12,1,39.9042,116.4074,CO,1.8150665602075933
2004-03-12 02:00:00,2004,3,12,2,39.9042,116.4074,CO,1.3841495994704158
2004-03-12 03:00:00,2004,3,12,3,39.9042,116.4074,CO,0.7607282395187435
2004-03-12 04:00:00,2004,3,12,4,39.9042,116.4074,CO,0.6988504329022457
2004-03-12 05:00:00,2004,3,12,5,39.9042,116.4074,CO,0.6026251629157403
2004-03-12 06:00:00,2004,3,12,6,39.9042,116.4074,CO,0.814215209691078
2004-03-12 07:00:00,2004,3,12,7,39.9042,116.4074,CO,1.43280805436003
2004-03-12 08:00:00,2004,3,12,8,39.9042,116.4074,CO,4.358103801797895
2004-03-12 09:00:00,2004,3,12,9,39.9042,116.4074,CO,3.599353301838889
2004-03-12 10:00:00,2004,3,12,10,39.9042,116.4074,CO,3.054898412562248
2004-03-12 11:00:00,2004,3,12,11,39.9042,116.4074,CO,2.62819766060058
2004-03-12 12:00:00,2004,3,12,12,39.9042,116.4074,CO,2.051523828573512
2004-03-12 13:00:00,2004,3,12,13,39.9042,116.4074,CO,2.4641228303445977
2004-03-12 14:00:00,2004,3,12,14,39.9042,116.4074,CO,2.5980752557266023
2004-03-12 15:00:00,2004,3,12,15,39.9042,116.4074,CO,2.9648396857037187
2004-03-12 16:00:00,2004,3,12,16,39.9042,116.4074,CO,2.923342179849066
2004-03-12 17:00:00,2004,3,12,17,39.9042,116.4074,CO,2.3978155769270257
2004-03-12 18:00:00,2004,3,12,18,39.9042,116.4074,CO,3.861664934087608
2004-03-12 19:00:00,2004,3,12,19,39.9042,116.4074,CO,3.678782511545401
2004-03-12 20:00:00,2004,3,12,20,39.9042,116.4074,CO,6.657795184230709
2004-03-12 21:00:00,2004,3,12,21,39.9042,116.4074,CO,4.291559606705515
2004-03-12 22:00:00,2004,3,12,22,39.9042,116.4074,CO,3.611175385383018
2004-03-12 23:00:00,2004,3,12,23,39.9042,116.4074,CO,5.469200542539085
2004-03-13 00:00:00,2004,3,13,0,39.9042,116.4074,CO,2.6544668344208
2004-03-13 01:00:00,2004,3,13,1,39.9042,116.4074,CO,1.9227577739306272
2004-03-13 02:00:00,2004,3,13,2,39.9042,116.4074,CO,1.5687017106404932
2004-03-13 03:00:00,2004,3,13,3,39.9042,116.4074,CO,1.6562044196476418
2004-03-13 04:00:00,2004,3,13,4,39.9042,116.4074,CO,1.3830590883542473
2004-03-13 05:00:00,2004,3,13,5,39.9042,116.4074,CO,1.0144027537966915
2004-03-13 06:00:00,2004,3,13,6,39.9042,116.4074,CO,1.258563584067826
2004-03-13 07:00:00,2004,3,13,7,39.9042,116.4074,CO,1.484093736679413
2004-03-13 08:00:00,2004,3,13,8,39.9042,116.4074,CO,2.621200527275973
2004-03-13 09:00:00,2004,3,13,9,39.9042,116.4074,CO,3.8482060953435
2004-03-13 10:00:00,2004,3,13,10,39.9042,116.4074,CO,3.230753958311981
2004-03-13 11:00:00,2004,3,13,11,39.9042,116.4074,CO,3.896616592412861
2004-03-13 12:00:00,2004,3,13,12,39.9042,116.4074,CO,3.768860348300576
